"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"25381","584.215","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","10912","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"25386","584.357","Master_0xaf9a9b6d","LE 1M","ATT","40","47192\302\265s","0","0","False","10915","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1e174361636865416374696f6e2f4d616e75616c456469746f7254656d70f1",""
"25390","584.500","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","1","0","False","10918","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"25411","585.165","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","10932","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317213b",""
"25438","585.830","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","10946","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317425c",""
"25466","586.590","Slave_0xaf9a9b6d","LE 1M","ATT","19","150\302\265s","0","1","False","10962","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317647effff030b000e",""
"25467","586.637","Master_0xaf9a9b6d","LE 1M","ATT","12","47041\302\265s","1","1","False","10963","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"25471","586.733","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","10965","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"27197","629.247","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","11860","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02ebed","save as dude"
"27200","629.295","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","11861","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"27237","630.245","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","11881","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e7e9",""
"27240","630.293","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","11882","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"27242","630.293","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","11882","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03e7e7d1",""
"27244","630.340","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","11883","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03e7e7d1",""
"27418","634.568","Slave_0xaf9a9b6d","LE 1M","ATT","22","150\302\265s","0","1","False","11972","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f00458c00000000000000ec",""
"28741","667.250","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","1","1","False","12660","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"28744","667.298","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","12661","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"28746","667.298","Slave_0xaf9a9b6d","LE 1M","ATT","22","151\302\265s","1","0","False","12661","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f00448c00000000000000eb",""
"29234","679.601","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","12920","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e6e8",""
"29238","679.696","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","12922","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"29253","680.076","Slave_0xaf9a9b6d","LE 1M","ATT","13","149\302\265s","1","0","False","12930","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03e6e6cf",""
"30368","707.247","Master_0xaf9a9b6d","LE 1M","ATT","18","47193\302\265s","1","1","False","13502","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff081932322f31313248","sound: autobots never give up"
"30371","707.295","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","13503","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"31405","732.804","Master_0xaf9a9b6d","LE 1M","ATT","18","151\302\265s","1","1","False","14040","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff081932322f31323047","Till all are one"
"31408","732.852","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","14041","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"32095","749.668","Master_0xaf9a9b6d","LE 1M","ATT","12","47194\302\265s","0","0","False","14395","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"32099","749.763","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","14397","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"32456","758.456","Master_0xaf9a9b6d","LE 1M","ATT","12","47192\302\265s","1","1","False","14580","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"32459","758.503","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","0","1","False","14581","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"32526","760.118","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","1","1","False","14615","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02ebed",""
"32529","760.166","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","14616","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"32568","761.116","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","14636","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e7e9",""
"32571","761.164","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","14637","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","","save"
"32573","761.164","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","14637","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03e7e7d1",""
"32707","764.346","Slave_0xaf9a9b6d","LE 1M","ATT","22","150\302\265s","1","0","False","14704","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f00468c00000000000000ed",""
"34626","811.754","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","15702","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"34629","811.802","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","15703","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"34631","811.802","Slave_0xaf9a9b6d","LE 1M","ATT","22","150\302\265s","0","1","False","15703","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f00448c00000000000000eb",""
"35182","825.957","Master_0xaf9a9b6d","LE 1M","ATT","13","94697\302\265s","1","1","False","16001","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff030a000d",""
"35185","826.005","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","16002","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"35547","834.936","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","16190","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff030a010e",""
