"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"4991","69.377","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","74","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"4993","69.378","Slave_0xaf9a9b6d","LE 1M","ATT","22","150\302\265s","1","0","False","74","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014a8f00000000010001f7",""
"5151","73.272","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","1","1","False","156","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"5154","73.320","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","157","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"5156","73.320","Slave_0xaf9a9b6d","LE 1M","ATT","22","150\302\265s","1","0","False","157","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014a8f00000000010001f7",""
"5291","77.310","Master_0xaf9a9b6d","LE 1M","ATT","12","151\302\265s","0","0","False","241","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"5294","77.358","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","242","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"5296","77.358","Slave_0xaf9a9b6d","LE 1M","ATT","22","149\302\265s","0","1","False","242","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014a8f00000000010001f7",""
"6124","98.116","Master_0xaf9a9b6d","LE 1M","ATT","38","47193\302\265s","1","1","False","679","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1cdc416374696f6e2f4c696768746e696e6720426f78696e672e7368b9","Download Lightning Boxing"
"6127","98.164","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","680","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6131","98.259","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","0","1","False","682","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04dc4f4b7a",""
"6132","98.306","Master_0xaf9a9b6d","LE 1M","ATT","77","47081\302\265s","1","1","False","683","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e3000c006800000008000000080800000008000f0f001e00000f0f001e00000000â\200\246",""
"6135","98.354","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","684","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6143","98.544","Slave_0xaf9a9b6d","LE 1M","ATT","14","151\302\265s","0","1","False","688","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6144","98.591","Master_0xaf9a9b6d","LE 1M","ATT","77","47081\302\265s","1","1","False","689","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e3000a0000000a0a0000000a000a8c1e2800000a8c141e00000a00000000000000â\200\246",""
"6147","98.639","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","0","1","True","690","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6149","98.640","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","690","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6150","98.686","Master_0xaf9a9b6d","LE 1M","ATT","77","46580\302\265s","0","0","False","691","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30800000008000f0f143c14000f0f143c14000000000000000000000000000000â\200\246",""
"6151","98.734","Master_0xaf9a9b6d","LE 1M","ATT","77","46807\302\265s","0","0","False","692","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30800000008000f0f143c14000f0f143c14000000000000000000000000000000â\200\246",""
