"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"1227","37.181","Master_0x50657b93","LE 1M","ATT","12","47193\302\265s","1","1","False","234","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1230","37.229","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","0","1","True","235","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1232","37.229","Slave_0x50657b93","LE 1M","ATT","22","150\302\265s","1","0","False","235","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
"1395","41.219","Master_0x50657b93","LE 1M","ATT","12","47193\302\265s","1","1","False","319","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1398","41.266","Slave_0x50657b93","LE 1M","ATT","5","151\302\265s","0","1","True","320","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1400","41.267","Slave_0x50657b93","LE 1M","ATT","22","151\302\265s","1","0","False","320","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
"1559","45.209","Master_0x50657b93","LE 1M","ATT","12","47192\302\265s","1","1","False","403","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1560","45.256","Master_0x50657b93","LE 1M","ATT","12","47327\302\265s","1","1","False","404","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1562","45.304","Master_0x50657b93","LE 1M","ATT","12","47096\302\265s","1","1","False","405","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1565","45.352","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","0","1","True","406","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1567","45.352","Slave_0x50657b93","LE 1M","ATT","22","150\302\265s","1","0","False","406","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
"1723","49.247","Master_0x50657b93","LE 1M","ATT","12","151\302\265s","0","0","False","488","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1726","49.294","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","1","0","True","489","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1728","49.295","Slave_0x50657b93","LE 1M","ATT","22","150\302\265s","0","1","False","489","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
"1885","53.237","Master_0x50657b93","LE 1M","ATT","12","47193\302\265s","1","1","False","572","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1888","53.285","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","0","1","True","573","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1890","53.285","Slave_0x50657b93","LE 1M","ATT","22","149\302\265s","1","0","False","573","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014e8f00000000010001fb",""
"1892","53.332","Slave_0x50657b93","LE 1M","ATT","22","150\302\265s","1","0","False","574","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014e8f00000000010001fb",""
"2616","71.526","Master_0x50657b93","LE 1M","ATT","26","47193\302\265s","1","1","False","957","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1017416374696f6e2f426520436f6f6c08","Be cool action"
"2617","71.573","Master_0x50657b93","LE 1M","ATT","26","47215\302\265s","1","1","False","958","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1017416374696f6e2f426520436f6f6c08",""
"2620","71.621","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","0","1","False","959","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3009","81.169","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1160","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03170a24",""
"3044","82.024","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1178","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317142e",""
"3068","82.594","Slave_0x50657b93","LE 1M","ATT","13","149\302\265s","1","0","False","1190","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03171e38",""
"3202","85.824","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1258","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03172842",""
"3233","86.584","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","0","1","False","1274","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
"3313","88.579","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1316","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03173c56",""
"3342","89.339","Slave_0x50657b93","LE 1M","ATT","13","149\302\265s","0","1","False","1332","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"3465","92.237","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1393","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317506a",""
"3588","95.230","Slave_0x50657b93","LE 1M","ATT","13","151\302\265s","1","0","False","1456","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03175a74",""
"3616","95.895","Slave_0x50657b93","LE 1M","ATT","19","149\302\265s","1","0","False","1470","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317647effff030b000e",""
"4575","119.028","Master_0x50657b93","LE 1M","ATT","28","47193\302\265s","0","0","False","1957","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1217416374696f6e2f4865726f20506f7365fb","Hero Pose"
"4578","119.076","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","1","0","False","1958","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"4580","119.124","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","1","0","False","1959","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"4608","119.789","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","1973","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317102a",""
"4705","122.116","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","2022","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317213b",""
"4721","122.496","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","2030","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
"4912","127.247","Slave_0x50657b93","LE 1M","ATT","13","151\302\265s","1","0","False","2130","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317425c",""
"4956","128.387","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","2154","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317536d",""
"4958","128.434","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","2155","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317536d",""
"4994","129.337","Slave_0x50657b93","LE 1M","ATT","19","149\302\265s","0","1","False","2174","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317647effff030b000e",""
"4996","129.384","Slave_0x50657b93","LE 1M","ATT","19","149\302\265s","0","1","False","2175","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317647effff030b000e",""
"7163","181.827","Master_0x50657b93","LE 1M","ATT","13","47193\302\265s","1","1","False","3279","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff030a000d","transform - fail"
"7166","181.875","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","0","1","False","3280","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"7512","190.663","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","1","0","False","3465","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"7732","196.506","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","3588","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"7953","202.349","Slave_0x50657b93","LE 1M","ATT","16","151\302\265s","0","1","False","3711","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"8184","208.287","Slave_0x50657b93","LE 1M","ATT","16","149\302\265s","1","0","False","3836","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015","left ankle is stuck reboot to restore."
"8403","214.035","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","3957","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"8405","214.082","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","3958","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"8613","219.877","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4080","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"8832","225.720","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4203","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"9056","231.563","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4326","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"9285","237.549","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4452","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"9482","243.486","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4577","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"9675","249.139","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4696","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"9883","254.982","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","4819","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"10099","260.540","Master_0x50657b93","LE 1M","ATT","13","150\302\265s","1","1","False","4936","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff030a000d","transform - fail."
"10102","260.587","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","0","1","False","4937","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"10104","260.635","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","0","1","False","4938","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"10106","260.682","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","0","1","False","4939","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"10109","260.777","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","1","0","False","4941","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015","left ankle is stuck"
"10324","266.621","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","1","0","False","5064","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"10547","272.463","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","5187","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"10785","278.306","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","0","1","False","5310","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"11019","284.149","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","1","0","False","5433","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"11244","289.992","Slave_0x50657b93","LE 1M","ATT","16","150\302\265s","1","0","False","5556","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"11470","295.835","Slave_0x50657b93","LE 1M","ATT","16","151\302\265s","1","0","False","5679","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"11695","301.678","Slave_0x50657b93","LE 1M","ATT","16","151\302\265s","0","1","False","5802","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff06ff1000000015",""
"12745","343.124","Master_0xaf9aab24","LE 1M","ATT","11","151\302\265s","0","0","False","3","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff","","Reconnect  - already standing"
"12750","343.172","Slave_0xaf9aab24","LE 1M","ATT","18","149\302\265s","0","1","False","4","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Unknown","",""
"12753","343.266","Master_0xaf9aab24","LE 1M","ATT","11","47121\302\265s","0","0","False","6","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0001..0x0007","",""
"12759","343.362","Slave_0xaf9aab24","LE 1M","ATT","9","150\302\265s","1","0","False","8","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Generic Access Profile)","",""
"12760","343.409","Master_0xaf9aab24","LE 1M","ATT","11","46659\302\265s","0","0","False","9","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0007","",""
"12763","343.456","Slave_0xaf9aab24","LE 1M","ATT","27","151\302\265s","1","0","False","10","Rcvd Read By Type Response, Attribute List Length: 3, Device Name, Appearance, Peripheral Preferred Connection Parameters","",""
"12764","343.504","Master_0xaf9aab24","LE 1M","ATT","11","46976\302\265s","0","0","False","11","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0007..0x0007","",""
"12767","343.551","Slave_0xaf9aab24","LE 1M","ATT","9","151\302\265s","1","0","False","12","Rcvd Error Response - Attribute Not Found, Handle: 0x0007 (Generic Access Profile: Peripheral Preferred Connection Parameters)","",""
"12768","343.599","Master_0xaf9aab24","LE 1M","ATT","11","47120\302\265s","0","0","False","13","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0008..0xffff","",""
"12769","343.646","Master_0xaf9aab24","LE 1M","ATT","11","47335\302\265s","0","0","False","14","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0008..0xffff","",""
"12772","343.694","Slave_0xaf9aab24","LE 1M","ATT","9","150\302\265s","1","0","False","15","Rcvd Error Response - Attribute Not Found, Handle: 0x0008 (Unknown)","",""
"12773","343.759","Master_0xaf9aab24","LE 1M","ATT","11","64622\302\265s","0","0","False","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"12776","343.776","Slave_0xaf9aab24","LE 1M","ATT","27","149\302\265s","1","0","False","17","Rcvd Read By Type Response, Attribute List Length: 3, Unknown, Unknown, Unknown","",""
"12778","343.794","Slave_0xaf9aab24","LE 1M","ATT","27","149\302\265s","1","0","False","18","Rcvd Read By Type Response, Attribute List Length: 3, Unknown, Unknown, Unknown","",""
"12779","343.811","Master_0xaf9aab24","LE 1M","ATT","11","16879\302\265s","0","0","False","19","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0010..0xffff","",""
"12782","343.829","Slave_0xaf9aab24","LE 1M","ATT","9","151\302\265s","1","0","False","20","Rcvd Error Response - Attribute Not Found, Handle: 0x0010 (Unknown: Unknown)","",""
"12783","343.846","Master_0xaf9aab24","LE 1M","ATT","9","17118\302\265s","0","0","False","21","Sent Find Information Request, Handles: 0x000b..0x000b","",""
"12786","343.864","Slave_0xaf9aab24","LE 1M","ATT","10","150\302\265s","1","0","False","22","Rcvd Find Information Response, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
"12787","343.885","Master_0xaf9aab24","LE 1M","ATT","9","20861\302\265s","0","0","False","23","Sent Find Information Request, Handles: 0x000e..0x000e","",""
"12790","343.893","Slave_0xaf9aab24","LE 1M","ATT","10","150\302\265s","1","0","False","24","Rcvd Find Information Response, Handle: 0x000e (Unknown: Unknown: Client Characteristic Configuration)","",""
"12791","343.900","Master_0xaf9aab24","LE 1M","ATT","9","7111\302\265s","0","0","False","25","Sent Find Information Request, Handles: 0x0011..0xffff","",""
"12794","343.908","Slave_0xaf9aab24","LE 1M","ATT","10","150\302\265s","1","0","False","26","Rcvd Find Information Response, Handle: 0x0011 (Unknown: Unknown: Client Characteristic Configuration)","",""
"12795","343.915","Master_0xaf9aab24","LE 1M","ATT","9","7110\302\265s","0","0","False","27","Sent Find Information Request, Handles: 0x0012..0xffff","",""
"12799","343.930","Slave_0xaf9aab24","LE 1M","ATT","9","150\302\265s","1","0","False","29","Rcvd Error Response - Attribute Not Found, Handle: 0x0012 (Unknown: Unknown: Unknown)","",""
"12826","344.121","Master_0xaf9aab24","LE 1M","ATT","9","29693\302\265s","0","0","False","43","Sent Write Request, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
"12829","344.169","Slave_0xaf9aab24","LE 1M","ATT","5","150\302\265s","1","0","False","44","Rcvd Write Response, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
"12837","344.406","Master_0xaf9aab24","LE 1M","ATT","7","47193\302\265s","1","1","False","49","Sent Exchange MTU Request, Client Rx MTU: 512","",""
"12840","344.501","Slave_0xaf9aab24","LE 1M","ATT","7","151\302\265s","0","1","False","51","Rcvd Exchange MTU Response, Server Rx MTU: 244","",""
"12850","344.739","Master_0xaf9aab24","LE 1M","ATT","12","47192\302\265s","1","1","False","56","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020b0d",""
"12853","344.786","Slave_0xaf9aab24","LE 1M","ATT","5","150\302\265s","0","1","True","57","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"12855","344.787","Slave_0xaf9aab24","LE 1M","ATT","13","149\302\265s","1","0","False","57","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff030b000e",""
"12856","344.834","Master_0xaf9aab24","LE 1M","ATT","12","46588\302\265s","0","0","False","58","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff021012",""
"12859","344.882","Slave_0xaf9aab24","LE 1M","ATT","5","149\302\265s","1","0","True","59","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
