"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"757","27.468","Master_0x50657b93","LE 1M","ATT","11","151\302\265s","1","1","False","5","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff","","connect - car mode"
"760","27.514","Slave_0x50657b93","LE 1M","ATT","18","149\302\265s","0","1","False","6","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Unknown","",""
"761","27.562","Master_0x50657b93","LE 1M","ATT","11","46977\302\265s","1","1","False","7","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0001..0x0007","",""
"762","27.609","Master_0x50657b93","LE 1M","ATT","11","47335\302\265s","1","1","False","8","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0001..0x0007","",""
"765","27.657","Slave_0x50657b93","LE 1M","ATT","9","151\302\265s","0","1","False","9","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Generic Access Profile)","",""
"766","27.707","Master_0x50657b93","LE 1M","ATT","11","49620\302\265s","1","1","False","10","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0007","",""
"769","27.724","Slave_0x50657b93","LE 1M","ATT","27","151\302\265s","0","1","False","11","Rcvd Read By Type Response, Attribute List Length: 3, Device Name, Appearance, Peripheral Preferred Connection Parameters","",""
"770","27.742","Master_0x50657b93","LE 1M","ATT","11","16878\302\265s","1","1","False","12","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0007..0x0007","",""
"773","27.759","Slave_0x50657b93","LE 1M","ATT","9","151\302\265s","0","1","False","13","Rcvd Error Response - Attribute Not Found, Handle: 0x0007 (Generic Access Profile: Peripheral Preferred Connection Parameters)","",""
"774","27.777","Master_0x50657b93","LE 1M","ATT","11","17119\302\265s","1","1","False","14","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0008..0xffff","",""
"777","27.794","Slave_0x50657b93","LE 1M","ATT","9","150\302\265s","0","1","False","15","Rcvd Error Response - Attribute Not Found, Handle: 0x0008 (Unknown)","",""
"778","27.812","Master_0x50657b93","LE 1M","ATT","11","17119\302\265s","1","1","False","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"781","27.832","Slave_0x50657b93","LE 1M","ATT","27","150\302\265s","0","1","False","17","Rcvd Read By Type Response, Attribute List Length: 3, Unknown, Unknown, Unknown","",""
"782","27.839","Master_0x50657b93","LE 1M","ATT","11","6974\302\265s","1","1","False","18","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0010..0xffff","",""
"785","27.847","Slave_0x50657b93","LE 1M","ATT","9","150\302\265s","0","1","False","19","Rcvd Error Response - Attribute Not Found, Handle: 0x0010 (Unknown: Unknown)","",""
"786","27.854","Master_0x50657b93","LE 1M","ATT","9","7118\302\265s","1","1","False","20","Sent Find Information Request, Handles: 0x000b..0x000b","",""
"788","27.869","Master_0x50657b93","LE 1M","ATT","9","14618\302\265s","1","1","False","22","Sent Find Information Request, Handles: 0x000e..0x000e","",""
"791","27.877","Slave_0x50657b93","LE 1M","ATT","10","150\302\265s","0","1","False","23","Rcvd Find Information Response, Handle: 0x000e (Unknown: Unknown: Client Characteristic Configuration)","",""
"792","27.884","Master_0x50657b93","LE 1M","ATT","9","7110\302\265s","1","1","False","24","Sent Find Information Request, Handles: 0x0011..0xffff","",""
"795","27.892","Slave_0x50657b93","LE 1M","ATT","10","150\302\265s","0","1","False","25","Rcvd Find Information Response, Handle: 0x0011 (Unknown: Unknown: Client Characteristic Configuration)","",""
"796","27.899","Master_0x50657b93","LE 1M","ATT","9","7110\302\265s","1","1","False","26","Sent Find Information Request, Handles: 0x0012..0xffff","",""
"797","27.907","Master_0x50657b93","LE 1M","ATT","9","7349\302\265s","1","1","False","27","Sent Find Information Request, Handles: 0x0012..0xffff","",""
"800","27.914","Slave_0x50657b93","LE 1M","ATT","9","150\302\265s","0","1","False","28","Rcvd Error Response - Attribute Not Found, Handle: 0x0012 (Unknown: Unknown: Unknown)","",""
"827","28.084","Master_0x50657b93","LE 1M","ATT","9","17191\302\265s","0","0","False","42","Sent Write Request, Handle: 0x000b (Unknown: Unknown: Unknown)","0100",""
"830","28.102","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","1","0","False","43","Rcvd Write Response, Handle: 0x000b (Unknown: Unknown: Unknown)","",""
"839","28.346","Master_0x50657b93","LE 1M","ATT","7","150\302\265s","0","0","False","48","Sent Exchange MTU Request, Client Rx MTU: 512","",""
"842","28.393","Slave_0x50657b93","LE 1M","ATT","7","151\302\265s","1","0","False","49","Rcvd Exchange MTU Response, Server Rx MTU: 244","",""
"853","28.678","Master_0x50657b93","LE 1M","ATT","12","47121\302\265s","1","1","False","55","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020b0d",""
"856","28.726","Slave_0x50657b93","LE 1M","ATT","5","150\302\265s","0","1","True","56","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"858","28.726","Slave_0x50657b93","LE 1M","ATT","13","150\302\265s","1","0","False","56","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff030b010f",""
"859","28.773","Master_0x50657b93","LE 1M","ATT","12","46589\302\265s","0","0","False","57","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff021012",""
"863","28.868","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","1","0","True","59","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"865","28.869","Slave_0x50657b93","LE 1M","ATT","19","150\302\265s","0","1","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0910426520436f6f6c6d",""
"867","28.869","Slave_0x50657b93","LE 1M","ATT","19","150\302\265s","1","0","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff091043414c4c494e4713",""
"869","28.870","Slave_0x50657b93","LE 1M","ATT","19","150\302\265s","0","1","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0910454e4552474f4e27",""
"871","28.871","Slave_0x50657b93","LE 1M","ATT","18","150\302\265s","1","0","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0810454e47414745bf",""
"873","28.871","Slave_0x50657b93","LE 1M","ATT","17","150\302\265s","0","1","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0710464947485489",""
"875","28.872","Slave_0x50657b93","LE 1M","ATT","19","150\302\265s","1","0","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff091046524545444f4d1b",""
"877","28.872","Slave_0x50657b93","LE 1M","ATT","22","150\302\265s","0","1","True","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c104772616e642055707065c2",""
"879","28.873","Slave_0x50657b93","LE 1M","ATT","21","150\302\265s","1","0","False","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0b104865726f20506f736560",""
"881","28.916","Slave_0x50657b93","LE 1M","ATT","17","149\302\265s","0","1","True","60","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0710504f574552a4",""
"883","28.916","Slave_0x50657b93","LE 1M","ATT","20","149\302\265s","1","0","True","60","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0a10507573682d5570731f",""
"885","28.917","Slave_0x50657b93","LE 1M","ATT","13","149\302\265s","0","1","False","60","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03fafaf7",""
"886","28.963","Master_0x50657b93","LE 1M","ATT","12","45874\302\265s","1","1","False","61","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02f8fa",""
"889","29.011","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","0","1","True","62","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"891","29.011","Slave_0x50657b93","LE 1M","ATT","24","149\302\265s","1","0","False","62","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0ef85348323032312d30362d323189",""
"896","29.153","Master_0x50657b93","LE 1M","ATT","12","47193\302\265s","0","0","False","65","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"899","29.201","Slave_0x50657b93","LE 1M","ATT","5","151\302\265s","1","0","True","66","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"901","29.201","Slave_0x50657b93","LE 1M","ATT","22","151\302\265s","0","1","False","66","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
"1066","33.191","Master_0x50657b93","LE 1M","ATT","12","47193\302\265s","0","0","False","150","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1069","33.238","Slave_0x50657b93","LE 1M","ATT","5","149\302\265s","1","0","True","151","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1071","33.239","Slave_0x50657b93","LE 1M","ATT","22","149\302\265s","0","1","False","151","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f014f8f00000000010001fc",""
