"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"1867","80.450","Master_0x50656319","LE 1M","ATT","9","17111\302\265s","0","0","False","20","Sent Find Information Request, Handles: 0x000e..0x000e","",""
"1870","80.467","Slave_0x50656319","LE 1M","ATT","10","150\302\265s","1","0","False","21","Rcvd Find Information Response, Handle: 0x000e (Unknown: Unknown: Client Characteristic Configuration)","",""
"1871","80.485","Master_0x50656319","LE 1M","ATT","9","17110\302\265s","0","0","False","22","Sent Find Information Request, Handles: 0x0011..0xffff","",""
"1874","80.504","Slave_0x50656319","LE 1M","ATT","10","150\302\265s","1","0","False","23","Rcvd Find Information Response, Handle: 0x0011 (Unknown: Unknown: Client Characteristic Configuration)","",""
"1875","80.511","Master_0x50656319","LE 1M","ATT","9","7111\302\265s","0","0","False","24","Sent Find Information Request, Handles: 0x0012..0xffff","",""
"1878","80.519","Slave_0x50656319","LE 1M","ATT","9","150\302\265s","1","0","False","25","Rcvd Error Response - Attribute Not Found, Handle: 0x0012 (Unknown: Unknown: Unknown)","",""
"1903","80.677","Master_0x50656319","LE 1M","ATT","9","17189\302\265s","0","0","False","38","Sent Write Request, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
"1906","80.702","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","1","0","False","39","Rcvd Write Response, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
"1917","80.987","Master_0x50656319","LE 1M","ATT","7","47192\302\265s","1","1","False","45","Sent Exchange MTU Request, Client Rx MTU: 512","",""
"1920","81.035","Slave_0x50656319","LE 1M","ATT","7","150\302\265s","0","1","False","46","Rcvd Exchange MTU Response, Server Rx MTU: 244","",""
"1929","81.272","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","51","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020b0d","handshake"
"1932","81.320","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","True","52","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1934","81.320","Slave_0x50656319","LE 1M","ATT","13","150\302\265s","1","0","False","52","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff030b010f",""
"1935","81.367","Master_0x50656319","LE 1M","ATT","12","46589\302\265s","0","0","False","53","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff021012","GetUserActionName "
"1938","81.415","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","True","54","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1940","81.415","Slave_0x50656319","LE 1M","ATT","19","150\302\265s","0","1","True","54","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0910426520436f6f6c6d",""
"1942","81.416","Slave_0x50656319","LE 1M","ATT","19","150\302\265s","1","0","True","54","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff091043414c4c494e4713",""
"1944","81.417","Slave_0x50656319","LE 1M","ATT","19","150\302\265s","0","1","True","54","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0910454e4552474f4e27",""
"1946","81.417","Slave_0x50656319","LE 1M","ATT","18","150\302\265s","1","0","False","54","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0810454e47414745bf",""
"1948","81.462","Slave_0x50656319","LE 1M","ATT","17","150\302\265s","0","1","True","55","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0710464947485489",""
"1950","81.463","Slave_0x50656319","LE 1M","ATT","19","150\302\265s","1","0","True","55","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff091046524545444f4d1b",""
"1952","81.464","Slave_0x50656319","LE 1M","ATT","22","150\302\265s","0","1","True","55","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c104772616e642055707065c2",""
"1954","81.464","Slave_0x50656319","LE 1M","ATT","21","150\302\265s","1","0","False","55","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0b104865726f20506f736560",""
"1956","81.510","Slave_0x50656319","LE 1M","ATT","17","150\302\265s","0","1","True","56","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0710504f574552a4",""
"1958","81.511","Slave_0x50656319","LE 1M","ATT","20","150\302\265s","1","0","True","56","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0a10507573682d5570731f",""
"1960","81.511","Slave_0x50656319","LE 1M","ATT","13","150\302\265s","0","1","False","56","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03fafaf7",""
"1961","81.557","Master_0x50656319","LE 1M","ATT","12","45873\302\265s","1","1","False","57","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02f8fa",""
"1962","81.605","Master_0x50656319","LE 1M","ATT","12","47327\302\265s","1","1","False","58","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02f8fa",""
"1965","81.652","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","True","59","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1967","81.653","Slave_0x50656319","LE 1M","ATT","24","149\302\265s","1","0","False","59","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0ef85348323032312d30362d323189",""
"1972","81.795","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","62","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"1975","81.842","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","True","63","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"1977","81.843","Slave_0x50656319","LE 1M","ATT","22","151\302\265s","0","1","False","63","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f01628f000000000100010f",""
"2140","85.785","Master_0x50656319","LE 1M","ATT","12","47190\302\265s","1","1","False","146","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11",""
"2143","85.833","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","True","147","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2145","85.833","Slave_0x50656319","LE 1M","ATT","22","149\302\265s","1","0","False","147","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f01628f000000000100010f",""
"2310","89.823","Master_0x50656319","LE 1M","ATT","12","151\302\265s","1","1","False","231","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020f11","States"
"2313","89.870","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","True","232","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2315","89.871","Slave_0x50656319","LE 1M","ATT","22","150\302\265s","1","0","False","232","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0c0f01628f000000000100010f",""
"2432","92.768","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","293","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e","stop"
"2435","92.816","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","294","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2440","92.958","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","297","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2443","93.006","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","298","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2450","93.195","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","302","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2453","93.243","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","303","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2461","93.575","Master_0x50656319","LE 1M","ATT","12","142199\302\265s","1","1","False","310","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2462","93.623","Master_0x50656319","LE 1M","ATT","12","47327\302\265s","1","1","False","311","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2463","93.670","Master_0x50656319","LE 1M","ATT","12","47327\302\265s","1","1","False","312","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2464","93.718","Master_0x50656319","LE 1M","ATT","12","47327\302\265s","1","1","False","313","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2468","93.813","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","315","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2485","94.241","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","324","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2488","94.288","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","325","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2496","94.478","Master_0x50656319","LE 1M","ATT","12","150\302\265s","0","0","False","329","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2499","94.526","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","330","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2509","94.764","Master_0x50656319","LE 1M","ATT","12","151\302\265s","1","1","False","335","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2512","94.811","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","336","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2518","95.001","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","340","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2521","95.048","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","341","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2524","95.143","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","343","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2527","95.191","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","344","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2530","95.286","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","346","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2533","95.333","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","347","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2540","95.523","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","351","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2543","95.571","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","352","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2552","95.808","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","357","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2555","95.856","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","358","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2561","96.046","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","362","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2564","96.093","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","363","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2571","96.283","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","367","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2574","96.331","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","368","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2581","96.568","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","373","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2584","96.616","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","374","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2591","96.806","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","378","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2594","96.853","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","379","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2602","97.044","Master_0x50656319","LE 1M","ATT","12","151\302\265s","1","1","False","383","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2605","97.091","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","384","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2614","97.328","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","389","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2617","97.376","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","390","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2624","97.566","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","394","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2627","97.613","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","395","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2634","97.803","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","399","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2637","97.851","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","400","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2646","98.088","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","405","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2649","98.136","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","406","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2656","98.326","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","410","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2659","98.374","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","411","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2668","98.611","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","416","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2671","98.659","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","417","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2678","98.848","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","421","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2681","98.896","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","422","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2712","99.656","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","438","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2715","99.704","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","439","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2720","99.846","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","442","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2723","99.894","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","443","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2744","100.416","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","454","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020507","move south\\n"
"2747","100.464","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","455","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2754","100.653","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","459","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020507",""
"2757","100.701","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","460","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2764","100.891","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","464","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020507",""
"2767","100.939","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","465","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2774","101.128","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","469","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2777","101.176","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","470","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2786","101.413","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","475","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2789","101.461","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","476","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2796","101.651","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","480","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2799","101.699","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","481","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2808","101.936","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","486","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2811","101.984","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","487","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2818","102.174","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","491","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2821","102.221","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","492","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2839","102.696","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","502","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103","move north\\n"
"2842","102.744","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","503","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2851","102.981","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","508","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103",""
"2854","103.029","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","509","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2861","103.219","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","513","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103",""
"2864","103.266","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","514","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2873","103.504","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","519","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2876","103.551","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","520","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2883","103.741","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","524","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2886","103.789","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","525","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2897","104.074","Master_0x50656319","LE 1M","ATT","12","47130\302\265s","0","0","False","531","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2900","104.121","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","532","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2905","104.264","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","535","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2908","104.311","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","536","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2915","104.501","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","540","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2919","104.596","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","542","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2926","104.786","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","546","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2929","104.834","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","547","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2936","105.024","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","551","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2939","105.071","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","552","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2948","105.309","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","557","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2951","105.356","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","558","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2958","105.546","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","562","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2961","105.594","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","563","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2970","105.831","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","568","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2974","105.926","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","570","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2979","106.069","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","573","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2982","106.116","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","574","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2991","106.354","Master_0x50656319","LE 1M","ATT","12","47194\302\265s","0","0","False","579","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2994","106.402","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","580","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3001","106.591","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","584","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3004","106.639","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","585","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3013","106.876","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","590","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3016","106.924","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","591","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3023","107.114","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","595","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3026","107.162","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","596","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3035","107.399","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","601","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3038","107.447","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","602","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3045","107.636","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","606","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
