"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"1831","79.753","Master_0x50656319","LE 1M","ATT","11","151\302\265s","0","0","False","3","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff","",""
"1836","79.800","Slave_0x50656319","LE 1M","ATT","18","150\302\265s","0","1","False","4","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Unknown","",""
"1839","79.895","Master_0x50656319","LE 1M","ATT","11","47120\302\265s","0","0","False","6","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0001..0x0007","",""
"1842","79.942","Slave_0x50656319","LE 1M","ATT","9","151\302\265s","1","0","False","7","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Generic Access Profile)","",""
"1843","79.990","Master_0x50656319","LE 1M","ATT","11","47119\302\265s","0","0","False","8","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0007","",""
"1846","80.037","Slave_0x50656319","LE 1M","ATT","27","150\302\265s","1","0","False","9","Rcvd Read By Type Response, Attribute List Length: 3, Device Name, Appearance, Peripheral Preferred Connection Parameters","",""
"1847","80.085","Master_0x50656319","LE 1M","ATT","11","46976\302\265s","0","0","False","10","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0007..0x0007","",""
"1850","80.132","Slave_0x50656319","LE 1M","ATT","9","150\302\265s","1","0","False","11","Rcvd Error Response - Attribute Not Found, Handle: 0x0007 (Generic Access Profile: Peripheral Preferred Connection Parameters)","",""
"1851","80.180","Master_0x50656319","LE 1M","ATT","11","47120\302\265s","0","0","False","12","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0008..0xffff","",""
"1854","80.227","Slave_0x50656319","LE 1M","ATT","9","150\302\265s","1","0","False","13","Rcvd Error Response - Attribute Not Found, Handle: 0x0008 (Unknown)","",""
"1855","80.275","Master_0x50656319","LE 1M","ATT","11","47120\302\265s","0","0","False","14","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"1858","80.322","Slave_0x50656319","LE 1M","ATT","27","151\302\265s","1","0","False","15","Rcvd Read By Type Response, Attribute List Length: 3, Unknown, Unknown, Unknown","",""
"1859","80.380","Master_0x50656319","LE 1M","ATT","11","56975\302\265s","0","0","False","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0010..0xffff","",""
"1862","80.397","Slave_0x50656319","LE 1M","ATT","9","150\302\265s","1","0","False","17","Rcvd Error Response - Attribute Not Found, Handle: 0x0010 (Unknown: Unknown)","",""
"1863","80.415","Master_0x50656319","LE 1M","ATT","9","17022\302\265s","0","0","False","18","Sent Find Information Request, Handles: 0x000b..0x000b","",""
"1866","80.432","Slave_0x50656319","LE 1M","ATT","10","149\302\265s","1","0","False","19","Rcvd Find Information Response, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
